app_name,category
VS Code,Travail
YouTube,Divertissement
Facebook,Social
Notion,Travail
Netflix,Divertissement
Slack,Travail
Instagram,Social
WhatsApp,Social
OBS Studio,Création/Streaming
DB Browser for SQLite,Travail
Advanced REST Client,Travail
Explorateur des fichiers,Outils système
Mail,Outils système
Chrome,Navigateurs
Firefox,Navigateurs
Edge,Navigateurs
Microsoft​ Edge,Navigateurs
Safari,Navigateurs
Opera,Navigateurs
WPS Office,Travail
snipping tool,Outils système
snipping tool,Outils système
snippingtool,Outils système
microsoft snipping tool,Outils système
